,country,year,cause,sex,deaths1,country_name
0,3320,1995,Hepatic viral infection,1,1,Qatar
1,3320,1995,Hepatic viral infection,2,1,Qatar
2,3320,1995,Hepatic viral infection,1,3,Qatar
3,3320,1995,Hepatic viral infection,2,1,Qatar
4,3320,1995,Hepatic viral infection,2,1,Qatar
5,3320,1995,AIDS\HIV,1,2,Qatar
6,3320,1995,AIDS\HIV,2,1,Qatar
7,3320,1995,AIDS\HIV,2,1,Qatar
8,3320,1995,AIDS\HIV,1,2,Qatar
9,3320,1995,AIDS\HIV,1,1,Qatar
10,3320,1995,Self-harm,2,1,Qatar
11,3320,1995,Self-harm,1,1,Qatar
12,3320,1995,Self-harm,1,1,Qatar
13,3320,1995,Self-harm,1,24,Qatar
14,3320,1995,Self-harm,2,4,Qatar
15,3320,1995,Self-harm,1,7,Qatar
16,3320,1995,Self-harm,1,1,Qatar
17,3320,1995,Self-harm,2,9,Qatar
18,3320,1995,Self-harm,1,13,Qatar
19,3320,1995,Self-harm,2,3,Qatar
20,3320,1995,Other heart diseases,2,3,Qatar
21,3320,1995,Other heart diseases,1,21,Qatar
22,3320,1995,Other heart diseases,2,1,Qatar
23,3320,1995,Other heart diseases,1,1,Qatar
24,3320,1995,Other heart diseases,2,3,Qatar
25,3320,1995,Other heart diseases,1,1,Qatar
26,3320,1995,Self-harm,2,23,Qatar
27,3320,1995,Other heart diseases,2,3,Qatar
28,3320,1995,Other heart diseases,1,6,Qatar
29,3320,1995,Other heart diseases,1,1,Qatar
30,3320,1995,Other heart diseases,2,1,Qatar
31,3320,1995,Mental disorders,1,1,Qatar
32,3320,1995,Mental disorders,2,1,Qatar
33,3320,1995,Other heart diseases,1,2,Qatar
34,3320,1995,Other heart diseases,2,1,Qatar
35,3320,1995,Other heart diseases,2,2,Qatar
36,3320,1995,Other heart diseases,1,1,Qatar
37,3320,1995,Other heart diseases,1,3,Qatar
38,3320,1995,Ischmic Heart diseases,2,21,Qatar
39,3320,1995,Ischmic Heart diseases,1,65,Qatar
40,3320,1995,Ischmic Heart diseases,1,4,Qatar
41,3320,1995,Ischmic Heart diseases,1,3,Qatar
42,3320,1995,Ischmic Heart diseases,2,19,Qatar
43,3320,1995,Ischmic Heart diseases,1,53,Qatar
44,3320,1995,Ischmic Heart diseases,1,4,Qatar
45,3320,1995,Hypertensive disorders,2,7,Qatar
46,3320,1995,Hypertensive disorders,1,6,Qatar
47,3320,1995,Hypertensive disorders,2,9,Qatar
48,3320,1995,Hypertensive disorders,1,4,Qatar
49,3320,1995,Rhumatic Fever,1,1,Qatar
